sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
1121,133,43,179.9392551187,362.0041857323,108.0753968254,69.7381827984,11034.8050925956,21224.8535442338,7823.8481040564,4055.7136294966,153.4272038844,9304.5377681807,1
993,107,42,151.8128559057,401.2443438914,54.4470049463,23.1030428649,9229.1802291212,24761.7441270123,3288.0684893389,1057.6019524156,192.4118387738,12205.4085910191,0
690,131,42,221.5289661591,447.3844782668,167.7538964304,83.5299031893,13341.7713808832,25997.8975120333,10209.0670460408,5870.9297970191,241.2962410020,13920.1155166674,0
535,115,25,277.6583617026,677.6880159959,131.0220110772,24.2650580347,17916.2804558096,40126.8935061045,12278.1800455659,1343.7678157583,326.0003423949,21227.2550403835,1
1489,196,72,167.1572779530,321.5442698819,116.9829945708,77.4799848805,10690.3847540069,20565.7256153385,7365.5588416037,5069.4684793399,126.5928429360,8866.6776216344,1
796,154,40,243.4780661454,670.2802916038,30.3013247739,29.8525820585,16498.0056019341,46022.8997435240,1650.8361490917,1820.2809131865,335.6350797545,27384.7595529254,1
890,53,32,129.2204300979,275.6127450980,105.3515193956,19.6190688098,10591.9536927502,25452.1998750481,6405.6061563114,977.2504161662,171.7288360606,24427.5565717830,1
1852,118,59,264.3740356018,351.0176000225,372.9446105773,83.0743191322,16005.7949618675,22120.2912372951,21854.8426722552,4884.6612372031,266.7356280025,16837.0691658979,1
1645,112,62,204.7791614962,266.7337768441,206.8704740388,150.9721916804,11941.0153112825,15884.5805819605,11459.8488629357,9075.6672545154,148.0509421772,8842.2823496943,1
556,232,32,461.8964790217,1026.6666666667,245.6127450980,159.5996732026,31509.8755785960,73125.4765795207,14748.4961713444,9806.6415427827,429.2051524195,39199.8922563252,1
